單位,郵遞區號,地址,電話,WGS84-X坐標,WGS84-Y坐標
臺南市政府警察局,73049,臺南市新營區民權里中正路3號,06-6322210,120.31615369999997,23.3053538
第一分局,70158,臺南市東區德高里崇善路740號,06-2684867,120.23235139999997,22.9665698
德高派出所,70158,臺南市東區德高里崇善路740號,06-2693405,120.23235139999997,22.9665698
文化派出所,70147,臺南市東區忠孝里崇明路384號,06-2907243,120.22117300000002,22.9760232
莊敬派出所,70166,臺南市東區莊敬里東光路2段66號,06-2385398,120.231716,22.9969035
東門派出所,70157,臺南市東區德光里崇善路55號,06-2690098,120.22164029999999,22.9820069
東寧派出所,70165,臺南市東區大學里林森路2段250號,06-2375433,120.22410509999997,22.9917444
府東派出所,70162,臺南市東區關聖里裕孝路136號,06-3316119,120.24349259999997,22.9861776
後甲派出所,70175,臺南市東區自強里富農街1段267號,06-2676364,120.23545330000002,22.9847019
第二分局,70051,臺南市中西區進學里南寧街144號,06-2139070,120.20052099999998,22.9853237
南門派出所,70051,臺南市中西區進學里南寧街144號,06-2148283,120.20052099999998,22.9853237
民權派出所,70042,臺南市中西區天后里民權路2段202號,06-2223002,120.20172000000002,22.995557
博愛派出所,70044,臺南市中西區青年里北門路1段103號,06-2287553,120.21152200000006,22.9926247
海安派出所,70054,臺南市中西區安海里民生路2段273號,06-2290153,120.19220859999996,22.9965584
長樂派出所,70059,臺南市中西區藥王里民權路3段230號,06-2222422,120.19390750000002,22.9980669
中正派出所,70054,臺南市中西區民主里中正路347號,06-2410135,120.19406789999994,22.9933734
第三分局,70960,臺南市安南區淵東里安中路3段396號,06-2567666,120.17458569999997,23.0496023
安南派出所,70960,臺南市安南區淵東里安中路3段396號,06-2567910,120.17458569999997,23.0496023
安中派出所,70943,臺南市安南區鳳凰里安中路1段788號,06-2467808,120.19550400000003,23.0433031
顯宮派出所,70955,臺南市安南區顯宮里媽祖宮路50號,06-2841320,120.12988829999995,23.0400126
安佃派出所,70966,臺南市安南區佃西里海佃路4段496號,06-2567620,120.17376250000007,23.0643623
長安派出所,70967,臺南市安南區長安里長溪路3段313號,06-2569531,120.19719859999998,23.0666261
土城派出所,70948,臺南市安南區城中里城西街40號,06-2577403,120.1291291,23.062361
海南派出所,70962,臺南市安南區海佃里海佃路1段419號,06-2588946,120.19041530000004,23.0286271
安順派出所,70958,臺南市安南區安西里安和路1段205號,06-2562405,120.21264470000006,23.0308597
和順派出所,70965,臺南市安南區州南里安和路4段569號,06-3554134,120.21846440000002,23.0623457
第四分局,70954,臺南市安平區平通里育平路312號,06-2954116,120.16871909999998,22.9943432
華平派出所,70848,臺南市安平區建平里建平八街2號,06-2951720,120.1819524,22.9904931
安平派出所,70850,臺南市安平區港仔里安平路27號,06-2252598,120.16770780000002,22.9990231
育平派出所,70843,臺南市安平區平通里育平路321號,06-2982674,120.16729520000001,22.9923187
第五分局,70451,臺南市北區文元里文賢路650號,06-2598595,120.19404120000002,23.0099524
立人派出所,70444,臺南市北區安民里西門路3段43號,06-2224227,120.20267890000002,23.0017223
北門派出所,70449,臺南市北區公園里北門路2段3號,06-2224230,120.21166019999998,22.9978297
公園派出所,70448,臺南市北區成德里文成三路550號,06-2520392,120.19836250000003,23.0159023
實踐派出所,70447,臺南市北區實踐里大武街162號,06-2520742,120.21602510000002,23.0143219
開元派出所,70442,臺南市北區勝安里開元路145號,06-2345461,120.21845000000008,23.0068164
和緯派出所,70451,臺南市北區文元里文賢路650號,06-2597695,120.19404120000002,23.0099524
第六分局,70248,臺南市南區南都里中華南路2段241號,06-2640556,120.18804969999997,22.9613756
喜樹派出所,70261,臺南市南區喜東里喜樹路151巷1號,06-2622407,120.1791227,22.9410443
鯤鯓派出所,70259,臺南市南區鯤鯓里鯤鯓路161號,06-2627306,120.16913780000004,22.9619139
新興派出所,70266,臺南市南區彰南里中華西路1段67之1號,06 2611428,120.18378800000005,22.9740405
金華派出所,70254,臺南市南區再興里金華路2段250號,06-2640007,120.19162559999995,22.9814488
灣裡派出所,70258,臺南市南區省躬里灣裡路61巷2號,06-2622819,120.18124319999993,22.9327706
鹽埕派出所,70248,臺南市南區南都里中華南路2段241號,06-2651592,120.18804969999997,22.9613756
大林派出所,70243,臺南市南區大林里大同路2段456號,06-2150209,120.21431959999995,22.9735944
新營分局,73045,臺南市新營區中山路119號,06-6323297,120.31767250000007,23.3046742
柳營分駐所,73663,臺南市柳營區士林里柳營路1段785號,06-6223424,120.31239340000002,23.2763784
鹽水分駐所,73744,臺南市鹽水區武廟路23號,06-6521032,120.2655972,23.3208464
中山路派出所,73045,臺南市新營區中山路119號,06-6322306,120.31767250000007,23.3046742
民治派出所,73045,臺南市新營區民權里中華路1號,06-6322164,120.3131095,23.3104988
